"Timestamp,""Informed Consent"
This research is conducted by MSc AI Online student at the University of Hull to evaluate the performance of several chatbot systems.
Your participation is voluntary, and you could withdraw  any time before submitting the survey. You could skip any question you do not wish to answer.
All responses are anonymous, and only be used for academic purposes.
"Please confirm that you have read and understood the above information and that you agree to participate in this survey."",1.Relevance,2.Coherence,3.Ambiguity Handling,4.User Satisfaction,1.Relevance,2.Coherence,3.Ambiguity Handling,4.User Satisfaction,1.Relevance,2.Coherence,3.Ambiguity Handling,4.User Satisfaction,Please share any comment:"
07/10/2025 16:08:34,I agree and give my consent to participate in this survey,4,4,5,5,8,8,5,9,7,7,5,8,Federated RAG is the most precious one I have tested and compared with two other models. But this Federated RAG is the most precious to give the responses.
08/10/2025 13:19:34,I agree and give my consent to participate in this survey,7,6,7,6,7,8,8,7,7,6,8,7,
08/10/2025 14:37:15,I agree and give my consent to participate in this survey,9,8,9,8,10,8,9,9,9,8,9,9,
08/10/2025 15:07:03,I agree and give my consent to participate in this survey,8,8,8,8,9,9,9,9,6,6,6,6,
08/10/2025 15:50:41,I agree and give my consent to participate in this survey,8,8,7,9,9,9,8,9,9,9,7,9,Simple and coherent survey 
09/10/2025 16:34:39,I agree and give my consent to participate in this survey,10,10,10,10,10,10,10,10,10,10,10,10,
09/10/2025 18:20:43,I agree and give my consent to participate in this survey,10,10,7,10,6,6,10,8,2,8,1,5,
11/10/2025 14:01:01,I agree and give my consent to participate in this survey,5,5,5,5,5,5,5,5,5,5,5,5,
"12/10/2025 10:46:59,I agree and give my consent to participate in this survey,9,9,8,9,9,9,9,10,8,7,7,8,""All three chatbots performed well. Federated RAG provided the most comprehensive responses with excellent transparency. Centralized RAG was very coherent and relevant. Retrieval-Based was fastest but less comprehensive. Overall, great implementations for MSc AI program information."""
12/10/2025 12:17:12,I agree and give my consent to participate in this survey,7,7,7,7,10,10,10,10,9,9,9,9,
01/11/2025 15:12:53,I agree and give my consent to participate in this survey,7,7,7,7,10,10,10,10,6,6,6,6,
01/11/2025 10:14:03,I agree and give my consent to participate in this survey,8,8,8,8,9,9,9,9,6,6,6,6,
02/11/2025 17:15:07,I agree and give my consent to participate in this survey,7,8,7,8,10,9,9,10,7,6,6,7,
02/11/2025 10:15:46,I agree and give my consent to participate in this survey,8,8,7,7,10,10,9,10,7,6,7,6,
11/12/2025 15:18:29,I agree and give my consent to participate in this survey,7,6,7,8,9,9,10,10,6,6,7,7,
14/11/2025 16:19:09,I agree and give my consent to participate in this survey,7,6,6,7,10,10,9,10,5,4,4,5,
16/11/2025 11:19:42,I agree and give my consent to participate in this survey,8,7,7,7,10,10,10,10,5,5,5,5,
18/11/2025 10:20:58,I agree and give my consent to participate in this survey,8,8,8,8,10,10,10,10,5,5,5,5,
19/11/2025 18:21:29,I agree and give my consent to participate in this survey,8,8,9,7,10,10,9,10,5,4,4,4,
19/11/2025 16:21:29,I agree and give my consent to participate in this survey,7,7,7,7,10,10,10,10,4,4,4,4,
20/11/2025 10:44:16,I agree and give my consent to participate in this survey,7,7,7,7,9,9,9,9,6,6,6,6,
21/11/2025 10:44:53,I agree and give my consent to participate in this survey,8,8,8,8,10,10,10,10,7,7,7,7,
21/11/2025 18:45:24,I agree and give my consent to participate in this survey,8,8,8,8,9,9,9,9,6,6,6,6,
22/11/2025 17:06:04,I agree and give my consent to participate in this survey,7,7,7,7,8,8,8,8,5,6,5,6,
22/11/2025 16:16:34,I agree and give my consent to participate in this survey,7,7,7,7,9,9,9,9,5,5,6,6,
23/11/2025 17:27:14,I agree and give my consent to participate in this survey,8,8,8,8,10,9,10,9,6,6,7,6,
24/11/2025 19:07:01,I agree and give my consent to participate in this survey,6,6,6,6,8,8,8,8,5,5,5,5,
25/11/2025 11:22:50,I agree and give my consent to participate in this survey,8,8,8,8,9,9,9,9,7,7,6,6,
25/11/2025 17:23:27,I agree and give my consent to participate in this survey,7,8,7,8,9,10,9,10,6,7,6,7,
25/11/2025 19:24:10,I agree and give my consent to participate in this survey,7,6,7,7,9,8,8,9,7,6,6,7,
